abandon,버리다; 포기하다
able (disabled),~할 수 있는; 유능한 (반대: disabled)
aboard,배·비행기 등에 탄
abort (abortion),중단하다; 유산시키다 (abortion: 유산)
abound (abundant),풍부하다; 많이 있다 (abundant: 풍부한)
about,~에 대하여; 약; 주변에
above,~위에; 위쪽의
abroad,해외에; 해외로
absent,결석한; 부재한
absolute,절대적인; 완전한
absorb,흡수하다
abstract,추상적인; 요약하다
absurd,터무니없는; 어이없는
abuse,남용하다; 학대하다; 남용; 학대
academy,학교; 학원; 학술 기관
accelerate,가속하다; 더 빨라지다
accent,억양; 강세; 말투
accept,받아들이다; 수락하다
access,접근; 접속; 이용 권한
accident,사고; 우연한 일
accommodate,숙박시키다; 수용하다; 맞추어 주다
accompany,동행하다; 반주하다
accomplish,완수하다; 이루다
accord,일치; 합의; 부여하다
account,계좌; 회계; 설명; 이야기
accumulate,축적하다; 모으다
accurate,정확한
accuse,비난하다; 고소하다
ache (headache),아프다; 쑤시다 (headache: 두통)
achieve,달성하다; 이루다
acid,산성의; 신 맛의; 산
acknowledge,인정하다; 감사하다
acquire,획득하다; 습득하다
acquisition,획득; 취득; 인수
across,가로질러; 건너편에
act (actual, interact),행동하다; 연기하다 (actual: 실제의; interact: 상호 작용하다)
adapt,적응하다; 개조하다
add,더하다; 추가하다
addict,중독자; 중독시키다
address,주소; 연설; (~에게) 말을 걸다
adequate,충분한; 적절한
adjust,조정하다; 적응하다
administer,관리하다; 집행하다; 투여하다
(administration),행정; 경영; 관리
admire,존경하다; 감탄하다
admit (admission),인정하다; 입장을 허가하다 (admission: 입장; 입학; 인정)
adolescent,청소년의; 청소년
adopt,입양하다; 채택하다
adult,성인의; 성인
advance,전진하다; 진보하다; 사전의; 발전
advantage (disadvantage),이점; 유리함 (disadvantage: 불리함)
adventure,모험; 모험심
adverse,부정적인; 불리한
advertize / advertise,광고하다
advice,충고; 조언
advise,충고하다; 조언하다
advocate,옹호하다; 지지하다; 옹호자
aesthetic,미적인; 미학의
affair,일; 사건; 불륜 관계
affect (affection),영향을 미치다; 감동시키다 (affection: 애정)
afford,~할 여유가 있다
afraid,두려운; 걱정하는
after,~후에; ~뒤에
afternoon,오후
again,다시; 또
against,~에 반대하여; ~에 맞서
age,나이; 시대
agency,대리점; 기관; 정부 기관
agenda,의제; 안건
agent,대리인; 중개인; 요원
aggress (aggressive),공격하다 (aggressive: 공격적인; 적극적인)
ago,~전에
agree (disagree),동의하다; 일치하다 (disagree: 동의하지 않다)
agriculture,농업; 농경
ahead,앞에; 앞으로
aid,돕다; 원조; 도움
aim,목표; 겨냥; 목표로 하다
air,공기; 공중; 방송하다
airline,항공사
airplane / aeroplane,비행기
airport,공항
alarm,경보; 자명종; 놀라게 하다
album,앨범; 사진첩; 음반
alcohol,알코올; 술
alert,경계하는; 방심하지 않는; 경보
alien,외계인; 외국인; 낯선
alike,비슷한; 서로 같은
alive,살아 있는; 생기 있는
all,모든; 전부
allocate,할당하다; 배분하다
allow,허락하다; ~하게 두다
ally,동맹국; 동맹자; 동맹하다
almost,거의
alone,혼자; 외로운
along,~을 따라; 함께
alongside,~옆에; 나란히
aloud,소리 내어; 큰 소리로
already,이미; 벌써
alright,괜찮은; 만족스러운; 그럭저럭
also,또한; 게다가
alter,바꾸다; 변경하다; 개조하다
alternative,대안; 선택 가능한 것; 대체의
although,비록 ~일지라도
altitude,고도; 높이
altogether,완전히; 전적으로; 모두 합쳐
amaze,놀라게 하다
ambassador,대사; 대표자
ambition,야망; 포부
ambulance,구급차
amend,수정하다; 개정하다
amid,~가운데에; ~속에서
amount,양; 액수; 총계가 ~에 달하다
amuse,재미있게 하다; 즐겁게 하다
analysis,분석
ancestor,조상; 선조
ancient,고대의; 오래된
and,그리고; ~와
angel,천사; 선한 사람
anger,화; 분노
angle,각도; 관점
animal,동물
announce,발표하다; 알리다
annual,매년의; 연례의
anonymous,익명의
another,또 다른; 또 하나의
answer,대답; 해답; 답하다
anticipate,예상하다; 기대하다
anxiety,불안; 걱정
anxious,불안해하는; 갈망하는
any,어떤; 조금도; 아무나
apart,떨어져; 따로
apartment,아파트
apologize,사과하다
apology,사과; 변명
app (application),앱; 응용 프로그램
apparatus,장치; 기구
apparent,명백한; 겉보기의
appeal,호소하다; 매력; 항소하다
appear,나타나다; ~처럼 보이다
appearance,외모; 등장; 출현
appetite,식욕; 욕구
applaud,박수 치다; 칭찬하다
apply,지원하다; 적용하다; 바르다
appoint,임명하다; 정하다
appreciate,감사하다; 감상하다; 가치 있게 여기다
approach,접근하다; 접근; 처리 방법
appropriate,적절한; 적당한
approval,승인; 찬성
approve,승인하다; 찬성하다
approximate,대략의; 근사치의
April,4월
arch,아치; 아치형 구조물
architect,건축가
architecture,건축학; 건축 양식
area,지역; 구역; 면적
argue,논쟁하다; 주장하다
argument,논쟁; 말다툼; 주장
arise,발생하다; 생기다
arm,팔; 무장시키다
army,군대; 육군
around,주변에; 약; 대략
arrange,정리하다; 준비하다; 배열하다
arrangement,배열; 준비; 합의
arrest,체포하다; 막다; 체포
arrival,도착
arrive,도착하다
arrogant,거만한; 오만한
arrow,화살; 화살표
art,예술; 미술
article,기사; 물건; 품목
artist,예술가; 화가
artistic,예술적인; 예술 감각이 있는
as,~처럼; ~로서; ~할 때
ash,재; 잿더미
ashamed,부끄러운; 수치스러운
aside,한쪽에; 따로
ask,묻다; 요청하다
asleep,잠든
aspect,측면; 양상; 관점
assemble,모이다; 조립하다
assembly,모임; 집회; 조립
assess,평가하다; 판단하다
assessment,평가; 검토
asset,자산; 강점
assign,할당하다; 배정하다
assignment,과제; 임무
assist,도와주다; 보조하다
assistant,조수; 보조자
associate,연관짓다; 관련시키다; 동료
association,협회; 단체; 연관
assume,가정하다; 맡다; 추정하다
assumption,가정; 추정
assure,보증하다; 확신시키다
astonish,깜짝 놀라게 하다
astronaut,우주비행사
athlete,운동선수
athletic,운동의; 운동선수 같은
atmosphere,대기; 분위기
atomic,원자의; 원자력의
attach,붙이다; 첨부하다
attack,공격하다; 공격
attempt,시도하다; 시도
attend,참석하다; 돌보다; ~에 주의를 기울이다
attendance,출석; 참석
attention,주의; 관심
attitude,태도; 자세
attract,끌다; 유혹하다
attraction,매력; 관광 명소
attractive,매력적인
attribute,속성; 탓으로 돌리다
audio,오디오; 음향의
August,8월
aunt,이모; 고모; 숙모
author,저자; 작가
authority,권위; 당국; 권한
automatic,자동의
autonomy,자치; 자율
available,이용 가능한; 쓸 수 있는
average,평균; 보통의; 평균의
avoid,피하다; 막다
await,기다리다
awake,깨어 있는; 깨우다
award,상; 상을 주다
aware,알고 있는; 인식하는
away,멀리; 떨어져
awful,끔찍한; 지독한; 최악의
awkward,어색한; 서투른
baby,아기; 어린
back,뒤; 뒤로; 등
background,배경; 경력; 이력
backward,뒤쪽의; 거꾸로; 퇴보한
bacteria,박테리아; 세균
bad,나쁜; 좋지 않은
badly,심하게; 형편없이
bag,가방; 봉지; 담다
bake,굽다
balance,균형; 잔액; 균형을 맞추다
ball,공; 무도회
ban,금지하다; 금지
banana,바나나
band,악단; 밴드; 띠
bank,은행; 둑; 제방
bar,막대; 술집; 장애물
bare,벌거벗은; 드러낸
barely,거의 ~아니다; 간신히
bargain,흥정하다; 싸게 사는 물건; 거래
barrier,장벽; 장애물
base,기초; 기반; 기지
basic,기본적인; 기초의
basin,대야; 세면대
basis,근거; 기준
basket,바구니
basketball,농구; 농구공
bat,박쥐; 방망이
bath,목욕; 욕조
bathroom,욕실; 화장실
battery,배터리; 건전지
battle,전투; 싸우다
bay,만(灣); 작은 항구
be,~이다; 있다
beach,해변; 백사장
beam,광선; 빛줄기; 들보
bean,콩
bear,곰; 참다; 견디다
beard,수염
beast,짐승; 야수
beat,이기다; 두드리다; 리듬
beautiful,아름다운
beauty,아름다움; 미모
because,왜냐하면
become,~이 되다; 어울리다
bed,침대
bedroom,침실
bee,벌
beef,쇠고기
beer,맥주
before,~전에; 앞에
beg,구걸하다; 간청하다
begin,시작하다
beginner,초보자
beginning,시작; 처음
behave,행동하다; 예의 바르게 하다
behavior,행동; 태도; 품행
behind,뒤에; 뒤로
being,존재; 생명체
belief,신념; 믿음
believe,믿다; 신뢰하다
bell,종; 종소리
belong,~에 속하다; 소유이다
below,아래에; 아래로
belt,벨트; 허리띠
bench,벤치; 긴 의자
bend,구부리다; 굽다
beneath,~아래에
benefit,이익; 혜택; 이익을 얻다
beside,~옆에
besides,게다가; ~외에도
best,최고의; 가장 잘
bet,내기하다; 장담하다
better,더 좋은; 더 잘
between,~사이에
beyond,~저편에; 넘어서
bicycle,자전거
bid,입찰하다; 시도하다
big,큰; 거대한
bike,자전거(구어)
bill,청구서; 지폐; 법안
billion,십억
bind,묶다; 결합시키다
biography,전기; 생애 기록
biology,생물학
bird,새
birth,출생; 탄생
birthday,생일
biscuit,비스킷
bite,물다; 한 입
bitter,쓴; 쓰라린; 혹독한
black,검은; 어두운
blade,날; 칼날
blame,비난하다; 탓하다
blank,빈; 공백; 빈칸
blanket,담요
blast,폭발; 강한 돌풍
